,name,review_score,reviewers,final_price,discount,ori_price,release_date,id,link
22,Total War: WARHAMMER III,74,"51,983",5099.4,40,"8.499,00",2022 年 2 月 17 日,1142710,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_2300_150_1
23,Riders Republic,78,"3,144",1499.75,75,"5.999,00",2023 年 6 月 9 日,2290180,https://store.steampowered.com/app/2290180/Riders_Republic/?snr=1_7_7_2300_150_1
24,NBA 2K23,64,"30,481",1119.84,84,"6.999,00",2022 年 9 月 9 日,1919590,https://store.steampowered.com/app/1919590/NBA_2K23/?snr=1_7_7_2300_150_1
25,Crusader Kings III,92,"60,977",1600.0,50,"3.200,00",2020 年 9 月 2 日,1158310,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_2300_150_2
26,Anno 1800,81,"8,951",1499.75,75,"5.999,00",2019 年 4 月,916440,https://store.steampowered.com/app/916440/Anno_1800/?snr=1_7_7_2300_150_2
27,Ready or Not,91,"90,006",2080.0,20,"2.600,00",2021 年 12 月 18 日,1144200,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_2300_150_2
28,Only Up!,71,"8,242",535.5,30,"765,00",2023 年 5 月 24 日,2381590,https://store.steampowered.com/app/2381590/Only_Up/?snr=1_7_7_2300_150_2
29,Call of Duty®: Black Ops III,86,"104,943",329.67,67,"999,00",2015 年 11 月 6 日,311210,https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_2300_150_2
30,巫师 3：狂猎,96,"659,347",599.99,70,"1.999,99",2015 年 5 月 18 日,292030,https://store.steampowered.com/app/292030/_3/?snr=1_7_7_2300_150_2
31,The Outlast Trials,94,"23,769",1785.0,15,"2.100,00",2023 年 5 月 19 日,1304930,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_2300_150_2
32,《巫师 3：狂猎 - 完全版》,96,"672,974",989.99,70,"3.299,99",2016 年 8 月 31 日,"(292030, 378649, 378648)",https://store.steampowered.com/sub/124923/?snr=1_7_7_2300_150_2
33,Hearts of Iron IV,92,"170,366",780.0,70,"2.600,00",2016 年 6 月 6 日,394360,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_2300_150_2
34,歧路旅人 II,96,"4,800",5009.25,25,"6.679,00",2023 年 2 月 25 日,1971650,https://store.steampowered.com/app/1971650/_II/?snr=1_7_7_2300_150_2
35,Stardew Valley,98,"489,996",118.79,34,"179,99",2016 年 2 月 27 日,413150,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_2300_150_2
36,The Elder Scrolls V: Skyrim Special Edition,94,"133,072",499.75,75,"1.999,00",2016 年 10 月 28 日,489830,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_2300_150_2
37,Terraria,97,"918,206",64.99,50,"129,99",2011 年 5 月 17 日,105600,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_2300_150_2
38,Phasmophobia,96,"461,828",800.0,20,"1.000,00",2020 年 9 月 19 日,739630,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_2300_150_2
39,RimWorld,98,"137,399",1680.0,20,"2.100,00",2018 年 10 月 17 日,294100,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_2300_150_2
40,《消逝的光芒2》,79,"109,222",1499.5,50,"2.999,00",2022 年 2 月 4 日,534380,https://store.steampowered.com/app/534380/2/?snr=1_7_7_2300_150_2
41,DARK SOULS III Deluxe Edition,94,"228,689",6099.5,50,"12.199,00",2016 年 4 月 12 日,"(374320, 442010)",https://store.steampowered.com/sub/94174/?snr=1_7_7_2300_150_2
42,深海迷航,96,"213,318",693.0,67,"2.100,00",2018 年 1 月 24 日,264710,https://store.steampowered.com/app/264710/_/?snr=1_7_7_2300_150_2
43,《猎人：荒野的召唤™》,88,"113,578",56.24,75,"224,99",2017 年 2 月 16 日,518790,https://store.steampowered.com/app/518790/_/?snr=1_7_7_2300_150_2
44,Assassin's Creed Valhalla,67,"9,561",1499.75,75,"5.999,00",2022 年 12 月 7 日,2208920,https://store.steampowered.com/app/2208920/Assassins_Creed_Valhalla/?snr=1_7_7_2300_150_2
45,Marvel’s Spider-Man: Miles Morales,94,"14,438",5694.33,33,"8.499,00",2022 年 11 月 18 日,1817190,https://store.steampowered.com/app/1817190/Marvels_SpiderMan_Miles_Morales/?snr=1_7_7_2300_150_2
46,星球大战 绝地：幸存者™,62,"30,834",6749.25,25,"8.999,00",2023 年 4 月 28 日,1774580,https://store.steampowered.com/app/1774580/_/?snr=1_7_7_2300_150_2
47,Mount & Blade II: Bannerlord,87,"175,196",2999.99,40,"4.999,99",2022 年 10 月 25 日,261550,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_2300_150_2
48,Grounded,89,"45,522",2399.4,40,"3.999,00",2022 年 9 月 28 日,962130,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_2300_150_2
49,动物园之星,90,"58,838",344.22,75,"1.376,90",2019 年 11 月 5 日,703080,https://store.steampowered.com/app/703080/_/?snr=1_7_7_2300_150_2
50,ARK: Survival Evolved,83,"487,040",56.24,75,"224,99",2017 年 8 月 28 日,346110,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_2300_150_3
